Evaluation Results
==================================================
Model: best_model_epoch78.pth
Test File: 2024-07-07_2024-07-07_17-15-00
Evaluation Date: 2025-07-10 16:53:18

System Information:
--------------------
os: Windows
os_version: 10.0.26100
architecture: 64bit
machine: AMD64
processor: Intel64 Family 6 Model 170 Stepping 4, GenuineIntel
gpu: NVIDIA GeForce RTX 4090 Laptop GPU (CUDA 12.6)
gpu_name: NVIDIA GeForce RTX 4090 Laptop GPU
python_version: 3.13.1
cpu_count: 22
cpu_count_logical: 22
memory_total_gb: 31.52
memory_available_gb: 17.39
memory_percent: 44.8
cuda_available: True
cuda_device_count: 1
cuda_version: 12.6
current_device: cuda

Performance Timing:
--------------------
Data loading time: 0.180 seconds
Model loading time: 0.268 seconds
Total inference time: 91.756 seconds
Average inference time per frame: 0.0261 seconds
Min inference time: 0.0169 seconds
Max inference time: 0.1031 seconds
Total evaluation time: 98.396 seconds
Frames processed: 3520

Frame-by-Frame Results:
------------------------------
Frame 59: ADE=10.94, FDE=9.18, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0232s
Frame 60: ADE=9.75, FDE=8.92, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0219s
Frame 61: ADE=9.79, FDE=9.29, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0256s
Frame 62: ADE=9.45, FDE=9.16, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0251s
Frame 63: ADE=8.83, FDE=8.78, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0268s
Frame 64: ADE=8.32, FDE=8.67, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0253s
Frame 65: ADE=7.65, FDE=8.93, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0310s
Frame 66: ADE=6.38, FDE=7.89, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0366s
Frame 67: ADE=5.79, FDE=7.16, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0333s
Frame 68: ADE=5.80, FDE=8.02, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0322s
Frame 69: ADE=5.66, FDE=8.26, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0301s
Frame 70: ADE=5.67, FDE=6.95, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0274s
Frame 71: ADE=5.76, FDE=6.64, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0350s
Frame 72: ADE=5.92, FDE=7.00, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0323s
Frame 73: ADE=5.94, FDE=6.45, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0240s
Frame 74: ADE=6.12, FDE=5.72, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0317s
Frame 75: ADE=6.73, FDE=5.52, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0361s
Frame 76: ADE=7.63, FDE=8.47, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0500s
Frame 77: ADE=6.54, FDE=6.54, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0477s
Frame 78: ADE=4.36, FDE=8.60, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0348s
Frame 79: ADE=5.46, FDE=7.07, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0320s
Frame 80: ADE=11.49, FDE=11.49, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0403s
Frame 81: ADE=7.78, FDE=16.89, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0340s
Frame 82: ADE=8.76, FDE=14.17, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0360s
Frame 83: ADE=15.13, FDE=15.13, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0285s
Frame 84: ADE=6.53, FDE=1.12, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0283s
Frame 85: ADE=15.53, FDE=10.86, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0286s
Frame 86: ADE=8.14, FDE=5.82, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0340s
Frame 87: ADE=12.87, FDE=8.93, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0323s
Frame 88: ADE=3.36, FDE=4.19, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0330s
Frame 89: ADE=1.28, FDE=1.28, Acc_2px=1.000, Acc_5px=1.000, Inference time: 0.0363s
Frame 90: ADE=12.10, FDE=8.16, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0320s
Frame 91: ADE=10.18, FDE=7.50, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0311s
Frame 92: ADE=11.27, FDE=6.01, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0314s
Frame 93: ADE=5.24, FDE=4.13, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0310s
Frame 94: ADE=9.88, FDE=6.43, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0278s
Frame 95: ADE=4.73, FDE=4.94, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0307s
Frame 96: ADE=3.71, FDE=3.71, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0274s
Frame 97: ADE=12.84, FDE=1.41, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0277s
Frame 98: ADE=5.23, FDE=8.50, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0265s
Frame 99: ADE=6.15, FDE=5.22, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0284s
Frame 100: ADE=9.38, FDE=9.38, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0356s
Frame 101: ADE=6.05, FDE=4.85, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0263s
Frame 102: ADE=5.12, FDE=2.57, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0245s
Frame 103: ADE=4.52, FDE=2.56, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0297s
Frame 104: ADE=4.41, FDE=2.13, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0228s
Frame 105: ADE=4.30, FDE=0.95, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0259s
Frame 106: ADE=5.00, FDE=2.44, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0269s
Frame 107: ADE=5.48, FDE=3.83, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0259s
Frame 108: ADE=6.64, FDE=6.42, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0238s
Frame 109: ADE=7.10, FDE=9.13, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0253s
Frame 110: ADE=5.90, FDE=5.01, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0256s
Frame 111: ADE=3.64, FDE=3.15, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0252s
Frame 112: ADE=2.87, FDE=2.68, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0245s
Frame 113: ADE=2.17, FDE=3.16, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0250s
Frame 114: ADE=1.99, FDE=3.34, Acc_2px=1.000, Acc_5px=1.000, Inference time: 0.0231s
Frame 115: ADE=2.19, FDE=3.20, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0267s
Frame 116: ADE=3.17, FDE=4.80, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0232s
